agents=25
map_file=cooperative_clearing_105.map
solver=het_lacam
solved=1
soc=5442
soc_lb=1698
makespan=362
makespan_lb=137
sum_of_loss=4860
comp_time=91
seed=0
checkpoints=-1,
comp_time_initial_solution=89
cost_initial_solution=4873
search_iteration=492
num_high_level_node=416
num_low_level_node=2280
fleets=0:1:1:105:105;1:3:1:35:35;2:5:2:21:21;3:7:3:15:15
agent_fleet=3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
starts=(9,8),(2,9),(3,2),(2,8),(19,17),(6,19),(5,6),(3,5),(1,13),(3,4),(8,33),(7,31),(10,7),(36,47),(94,83),(82,91),(40,64),(29,16),(99,69),(37,33),(88,85),(84,34),(41,11),(95,36),(101,92),
goals=(1,12),(12,1),(9,5),(13,4),(6,1),(19,15),(18,3),(15,8),(23,25),(28,31),(31,16),(33,12),(26,17),(75,85),(37,72),(39,101),(102,86),(99,17),(28,93),(101,73),(14,22),(39,17),(103,37),(25,83),(41,74),
solution=
0:(9,8),(2,9),(3,2),(2,8),(19,17),(6,19),(5,6),(3,5),(1,13),(3,4),(8,33),(7,31),(10,7),(36,47),(94,83),(82,91),(40,64),(29,16),(99,69),(37,33),(88,85),(84,34),(41,11),(95,36),(101,92),
1:(9,7),(3,9),(3,3),(2,7),(19,16),(7,19),(5,7),(3,6),(2,13),(4,4),(8,32),(8,31),(11,7),(36,48),(94,82),(82,90),(41,64),(30,16),(98,69),(37,34),(87,85),(84,35),(41,12),(95,37),(101,91),
2:(9,7),(3,9),(3,3),(2,7),(19,16),(7,19),(5,7),(3,6),(2,14),(4,5),(8,31),(8,30),(12,7),(36,49),(93,82),(82,89),(41,63),(30,17),(97,69),(38,34),(87,84),(83,35),(41,13),(95,38),(101,90),
3:(9,7),(3,9),(3,3),(2,7),(19,15),(7,18),(6,7),(3,7),(3,14),(4,6),(9,31),(9,30),(12,8),(36,50),(92,82),(81,89),(41,62),(31,17),(97,68),(38,35),(86,84),(83,36),(41,14),(95,39),(101,89),
4:(8,7),(3,8),(3,4),(3,7),(19,15),(7,18),(6,7),(3,7),(3,15),(5,6),(9,30),(9,29),(12,9),(36,51),(92,81),(81,88),(41,61),(32,17),(96,68),(38,36),(86,83),(82,36),(41,15),(94,39),(100,89),
5:(8,7),(3,8),(3,4),(3,7),(19,14),(7,17),(6,8),(4,7),(4,15),(6,6),(10,30),(10,29),(12,10),(36,52),(91,81),(80,88),(41,60),(32,18),(96,67),(38,37),(86,82),(81,36),(41,16),(94,40),(99,89),
6:(8,7),(3,8),(3,4),(3,7),(19,14),(7,17),(6,8),(4,7),(5,15),(6,7),(10,29),(10,28),(12,11),(37,52),(90,81),(80,87),(41,59),(33,18),(96,66),(39,37),(86,81),(81,37),(41,17),(94,41),(99,88),
7:(7,7),(4,8),(3,5),(3,7),(18,14),(7,16),(6,9),(3,7),(6,15),(7,7),(10,28),(10,27),(13,11),(37,53),(90,80),(80,86),(41,58),(34,18),(96,65),(40,37),(86,80),(81,38),(41,18),(93,41),(99,87),
8:(7,7),(4,8),(3,5),(3,7),(18,14),(7,16),(6,9),(3,7),(6,16),(7,8),(10,27),(10,26),(13,11),(37,54),(90,79),(80,85),(41,57),(35,18),(96,64),(41,37),(85,80),(80,38),(41,19),(93,42),(98,87),
9:(7,7),(4,8),(3,5),(3,7),(18,13),(7,15),(6,10),(3,8),(6,17),(7,9),(11,27),(10,25),(13,11),(38,54),(90,78),(79,85),(41,56),(36,18),(96,63),(41,38),(85,79),(80,39),(41,20),(92,42),(97,87),
10:(6,7),(5,8),(4,5),(3,7),(18,13),(7,15),(6,10),(3,8),(6,17),(7,10),(12,27),(10,24),(13,12),(39,54),(89,78),(78,85),(41,55),(37,18),(96,62),(41,39),(85,78),(80,40),(41,21),(91,42),(97,86),
